Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.011258      +0.01%      1254.01 ms/ev ->      1268.21 ms/ev lowPtGsfElectronSeeds
   -0.011081      -0.03%      2589.77 ms/ev ->      2561.23 ms/ev lowPtQuadStepTrackCandidates
   +0.010807      +0.00%         5.52 ms/ev ->         5.58 ms/ev dt4DSegments
   +0.010345      +0.00%         5.19 ms/ev ->         5.25 ms/ev ticlMultiClustersFromTrackstersHAD
   +0.010212      +0.00%         7.60 ms/ev ->         7.68 ms/ev electronMergedSeedsFromMultiCl
   -0.010074      -0.00%       116.42 ms/ev ->       115.26 ms/ev ticlTrackstersHAD
   +0.010058      +0.00%        76.37 ms/ev ->        77.14 ms/ev displacedStandAloneMuons
   +0.009986      +0.00%       183.54 ms/ev ->       185.38 ms/ev combinatoricRecoTaus
   -0.009983      -0.00%        37.35 ms/ev ->        36.98 ms/ev standAloneMuons
   +0.009640      +0.00%        19.82 ms/ev ->        20.01 ms/ev ak4PFJetsCHS
   -0.009280      -0.00%        21.11 ms/ev ->        20.92 ms/ev lowPtGsfElePfGsfTracks
   -0.008930      -0.00%         9.79 ms/ev ->         9.70 ms/ev ak4PFJetsPuppi
   -0.007898      -0.00%       447.96 ms/ev ->       444.44 ms/ev puppiNoLep
   +0.007646      +0.01%       984.44 ms/ev ->       992.00 ms/ev electronCkfTrackCandidatesFromMultiCl
   -0.007139      -0.01%       755.86 ms/ev ->       750.49 ms/ev hgcalLayerClusters
   -0.007012      -0.00%       270.18 ms/ev ->       268.29 ms/ev detachedQuadStepTrackCandidates
   -0.006963      -0.00%        11.10 ms/ev ->        11.02 ms/ev muonCSCDigis
   -0.005910      -0.00%        33.60 ms/ev ->        33.40 ms/ev ak4PFJets
   -0.005560      -0.00%       444.77 ms/ev ->       442.31 ms/ev puppi
   -0.003033      -0.00%      1522.31 ms/ev ->      1517.70 ms/ev unsortedOfflinePrimaryVertices4DnoPID
   +0.002575      +0.00%       162.88 ms/ev ->       163.31 ms/ev cosmicMuons1Leg
   -0.002217      -0.00%        43.80 ms/ev ->        43.71 ms/ev HGCalUncalibRecHit
   -0.002035      -0.00%       440.28 ms/ev ->       439.39 ms/ev initialStepHitQuadruplets
   -0.001171      -0.00%        15.38 ms/ev ->        15.36 ms/ev ak4CaloJets
  ---------- ------------     --------                  ----       ------------
Job total:  99.4214 s/ev ==> 124.919 s/ev

The same excluding the first 0.0001 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.00 ms/ev MEtoEDMConverter
   +1.449849      +0.00%         0.01 ms/ev ->         0.05 ms/ev totemTimingRecHits
   +1.303545      +0.00%         0.14 ms/ev ->         0.67 ms/ev gemRecHits
   +1.265254      +0.00%         0.07 ms/ev ->         0.33 ms/ev gmtStage2Digis
   +1.257345      +0.00%         0.08 ms/ev ->         0.34 ms/ev gtDigis
   -1.149162      -0.00%         0.02 ms/ev ->         0.01 ms/ev uncleanedOnlyMulti5x5SuperClustersWithPreshower
   +1.079063      +0.00%         0.01 ms/ev ->         0.02 ms/ev ctppsPixelLocalTracks
   +0.797547     +28.59%     20905.00 ms/ev ->     48636.20 ms/ev AODSIMoutput
   -0.730520      -0.00%         5.22 ms/ev ->         2.43 ms/ev uncleanedOnlyConversionTrackCandidates
   +0.581758      +0.00%         1.35 ms/ev ->         2.46 ms/ev hcalDigis
   -0.533418      -0.00%         1.31 ms/ev ->         0.76 ms/ev uncleanedOnlyPfTrackElec
   +0.517138      +0.00%         0.73 ms/ev ->         1.24 ms/ev gemSegments
   -0.416889      -0.04%       104.45 ms/ev ->        68.41 ms/ev me0Segments
   +0.401184      +0.00%         5.40 ms/ev ->         8.11 ms/ev uncleanedHybridSuperClusters
   -0.399917      -0.00%         2.03 ms/ev ->         1.35 ms/ev candidateVertexMerger
   -0.384754      -0.00%         2.31 ms/ev ->         1.56 ms/ev muonSeededSeedsOutInDisplaced
   -0.382245      -0.00%         0.75 ms/ev ->         0.51 ms/ev uncleanedOnlyElectronGsfTracks
   +0.371020      +0.00%         5.02 ms/ev ->         7.30 ms/ev particleFlowClusterHCAL
   -0.354639      -0.00%         0.63 ms/ev ->         0.44 ms/ev uncleanedOnlyGsfElectrons
   +0.353779      +0.00%         2.68 ms/ev ->         3.83 ms/ev particleFlowRecHitHBHE
   -0.346314      -0.00%        13.73 ms/ev ->         9.67 ms/ev mergedDuplicateTracks
   -0.338831      -0.00%         6.78 ms/ev ->         4.82 ms/ev EcalHaloData
   -0.333934      -0.00%         1.50 ms/ev ->         1.07 ms/ev particleFlowPtrs
   -0.326745      -0.00%         3.16 ms/ev ->         2.27 ms/ev candidateVertexMergerCvsL
   -0.313256      -0.00%         2.15 ms/ev ->         1.57 ms/ev uncleanedOnlyElectronSeeds
   -0.294956      -0.00%        12.84 ms/ev ->         9.54 ms/ev vertexMerger
   +0.292381      +0.17%       468.81 ms/ev ->       629.36 ms/ev pfNoPileUpJME
   +0.291407      +0.01%        26.90 ms/ev ->        36.08 ms/ev hbhereco
   -0.280494      -0.00%         0.64 ms/ev ->         0.48 ms/ev lowPtGsfElectronID
   +0.270777      +0.00%         1.57 ms/ev ->         2.06 ms/ev hfprereco
   -0.266681      -0.00%         0.58 ms/ev ->         0.44 ms/ev CosmicMuonSeed
   -0.255258      -0.00%         1.57 ms/ev ->         1.21 ms/ev lowPtTripletStepSelector
   -0.253917      -0.00%        14.26 ms/ev ->        11.05 ms/ev reducedEcalRecHitsEB
   -0.236001      -0.00%         3.47 ms/ev ->         2.74 ms/ev detachedQuadStepSelector
   -0.229542      -0.21%      1011.70 ms/ev ->       803.38 ms/ev particleFlowClusterHGCal
   -0.228740      -0.00%         0.66 ms/ev ->         0.52 ms/ev muPFIsoDepositNeutral
   +0.224855      +0.01%        25.72 ms/ev ->        32.23 ms/ev particleFlowClusterHF
   -0.207361      -0.00%         1.15 ms/ev ->         0.93 ms/ev initialStepSeedLayers
   -0.206134      -0.00%        21.00 ms/ev ->        17.07 ms/ev uncleanedOnlyAllConversions
   -0.193836      -0.02%       119.00 ms/ev ->        97.97 ms/ev inclusiveCandidateVertexFinder
